LOCATION,TIME,Value
FRA,1987,0.376189
FRA,1988,2.404303
FRA,1989,2.444975
FRA,1990,1.184775
FRA,1991,-0.003742
FRA,1992,1.061737
FRA,1993,-0.340811
FRA,1994,1.284703
FRA,1995,1.542474
FRA,1996,0.314589
FRA,1997,0.934752
FRA,1998,1.685793
FRA,1999,0.749978
FRA,2000,1.747401
FRA,2001,0.716022
FRA,2002,1.54399
FRA,2003,-0.133367
FRA,2004,0.792324
FRA,2005,0.351285
FRA,2006,1.689158
FRA,2007,-0.641991
FRA,2008,-1.301801
FRA,2009,-2.002866
FRA,2010,0.900132
FRA,2011,0.749234
FRA,2012,-0.267817
FRA,2013,0.594902
FRA,2014,0.422687
FRA,2015,0.31836
FRA,2016,-0.111462
FRA,2017,1.467069
FRA,2018,0.074707
FRA,2019,0.033709
FRA,2020,-2.368239
FRA,2021,-0.078816
FRA,2022,-1.370419
DEU,1985,1.486597
DEU,1986,0.902782
DEU,1987,0.614773
DEU,1988,1.983947
DEU,1989,2.655577
DEU,1990,2.90778
DEU,1991,2.747113
DEU,1992,1.330781
DEU,1993,0.435937
DEU,1994,1.838938
DEU,1995,0.886935
DEU,1996,0.793733
DEU,1997,1.601404
DEU,1998,0.52905
DEU,1999,0.466803
DEU,2000,1.613868
DEU,2001,1.42575
DEU,2002,0.019033
DEU,2003,-0.062241
DEU,2004,0.634488
DEU,2005,0.901495
DEU,2006,1.599109
DEU,2007,1.014527
DEU,2008,-0.342359
DEU,2009,-4.066657
DEU,2010,2.416012
DEU,2011,2.45463
DEU,2012,0.222244
DEU,2013,0.18584
DEU,2014,1.016663
DEU,2015,0.374022
DEU,2016,1.150515
DEU,2017,1.551932
DEU,2018,-0.060114
DEU,2019,0.346022
DEU,2020,-0.406188
DEU,2021,0.955313
DEU,2022,0.457833
IRL,1985,2.34764
IRL,1986,-1.812328
IRL,1987,4.352724
IRL,1988,4.134561
IRL,1989,4.771029
IRL,1990,4.370939
IRL,1991,2.940538
IRL,1992,4.040605
IRL,1993,2.067642
IRL,1994,2.457441
IRL,1995,4.736471
IRL,1996,3.398845
IRL,1997,6.05651
IRL,1998,-0.404421
IRL,1999,4.020276
IRL,2000,4.38205
IRL,2001,2.140657
IRL,2002,3.433506
IRL,2003,1.027317
IRL,2004,2.980145
IRL,2005,0.00882
IRL,2006,0.280597
IRL,2007,1.099966
IRL,2008,-4.144579
IRL,2009,1.200373
IRL,2010,3.262802
IRL,2011,0.659777
IRL,2012,-1.268319
IRL,2013,-2.904819
IRL,2014,4.248357
IRL,2016,-5.508843
IRL,2017,2.531745
IRL,2018,3.716079
IRL,2019,-5.319791
IRL,2020,4.919127
IRL,2021,8.63368
IRL,2022,6.750133
ITA,1985,1.221393
ITA,1986,0.880353
ITA,1987,1.03791
ITA,1988,1.895579
ITA,1989,2.244504
ITA,1990,0.121034
ITA,1991,-0.543219
ITA,1992,0.415533
ITA,1993,0.675454
ITA,1994,3.040889
ITA,1995,2.192035
ITA,1996,-0.377318
ITA,1997,0.985545
ITA,1998,-0.381401
ITA,1999,-0.041283
ITA,2000,1.969217
ITA,2001,-0.04775
ITA,2002,-1.554329
ITA,2003,-1.316958
ITA,2004,0.249879
ITA,2005,-0.158936
ITA,2006,-0.389676
ITA,2007,-0.389752
ITA,2008,-1.273435
ITA,2009,-3.301557
ITA,2010,1.735262
ITA,2011,0.396946
ITA,2012,-1.402031
ITA,2013,-0.027343
ITA,2014,0.04441
ITA,2015,0.226651
ITA,2016,0.036824
ITA,2017,0.801856
ITA,2018,0.101561
ITA,2019,0.346729
ITA,2020,-0.602448
ITA,2021,1.092922
ITA,2022,0.494067
JPN,1985,3.339234
JPN,1986,0.925614
JPN,1987,2.487345
JPN,1988,3.761776
JPN,1989,2.409993
JPN,1990,2.83399
JPN,1991,1.146424
JPN,1992,-0.452734
JPN,1993,0.003781
JPN,1994,0.01506
JPN,1995,1.558702
JPN,1996,1.241579
JPN,1997,0.025365
JPN,1998,-0.915944
JPN,1999,0.550202
JPN,2000,1.645313
JPN,2001,0.041626
JPN,2002,0.463635
JPN,2003,0.778915
JPN,2004,1.703314
JPN,2005,0.921908
JPN,2006,-0.052504
JPN,2007,0.390108
JPN,2008,-1.036141
JPN,2009,-2.973357
JPN,2010,3.275874
JPN,2011,0.371614
JPN,2012,1.041483
JPN,2013,1.940137
JPN,2014,-0.054931
JPN,2015,1.507958
JPN,2016,0.048741
JPN,2017,0.893808
JPN,2018,0.376783
JPN,2019,0.217693
JPN,2020,-2.122607
JPN,2021,1.582038
JPN,2022,0.732359
KOR,1990,5.750934
KOR,1991,5.503134
KOR,1992,2.532154
KOR,1993,2.751757
KOR,1994,4.056494
KOR,1995,3.840811
KOR,1996,3.465793
KOR,1997,3.889817
KOR,1998,0.809136
KOR,1999,7.311485
KOR,2000,2.487049
KOR,2001,1.540566
KOR,2002,4.68606
KOR,2003,2.48398
KOR,2004,3.091656
KOR,2005,3.082357
KOR,2006,2.958597
KOR,2007,4.53197
KOR,2008,3.534109
KOR,2009,1.564445
KOR,2010,4.646794
KOR,2011,1.639372
KOR,2012,0.293368
KOR,2013,1.228421
KOR,2014,1.17081
KOR,2015,0.451365
KOR,2016,1.504316
KOR,2017,2.57732
KOR,2018,2.267928
KOR,2019,1.313795
KOR,2020,0.913839
KOR,2021,1.894347
KOR,2022,-0.252973
NLD,1985,1.040509
NLD,1986,0.721255
NLD,1987,0.434996
NLD,1988,1.281809
NLD,1989,1.56664
NLD,1990,1.022904
NLD,1991,0.491455
NLD,1992,-0.588466
NLD,1993,0.782542
NLD,1994,1.425552
NLD,1995,-0.892563
NLD,1996,0.384759
NLD,1997,1.796423
NLD,1998,1.767738
NLD,1999,1.476625
NLD,2000,2.183647
NLD,2001,0.295642
NLD,2002,-0.105288
NLD,2003,0.401301
NLD,2004,1.161967
NLD,2005,1.581355
NLD,2006,1.136617
NLD,2007,0.250373
NLD,2008,0.12098
NLD,2009,-3.168168
NLD,2010,1.445642
NLD,2011,0.382717
NLD,2012,-0.802841
NLD,2013,-0.062331
NLD,2014,0.605828
NLD,2015,-0.260788
NLD,2016,0.053127
NLD,2017,0.821797
NLD,2018,0.072986
NLD,2019,-0.425246
NLD,2020,-2.221569
NLD,2021,1.987792
NLD,2022,1.072948
NZL,1987,-0.147359
NZL,1988,3.075793
NZL,1989,1.673663
NZL,1990,1.481574
NZL,1991,-2.142273
NZL,1992,2.490808
NZL,1993,2.907414
NZL,1994,1.042396
NZL,1995,0.62411
NZL,1996,0.093234
NZL,1997,2.051429
NZL,1998,-1.976722
NZL,1999,1.068417
NZL,2000,1.510126
NZL,2001,1.119089
NZL,2002,1.554534
NZL,2003,1.02396
NZL,2004,-1.075239
NZL,2005,-1.045636
NZL,2006,0.081752
NZL,2007,2.353846
NZL,2008,-4.013962
NZL,2009,3.364007
NZL,2010,-1.377693
NZL,2011,0.991882
NZL,2012,2.325689
NZL,2013,-2.088195
NZL,2014,-0.222186
NZL,2015,1.757181
NZL,2016,-0.575674
NZL,2017,0.196603
